w,rmsB,rmsP,move,n,gain
214,1.5066314608286406,1.23606472832998,1.011580287210354,3922,-0.2705667324986607
215,3.431020949408069,3.1475825476916075,1.8647765523273798,5121,-0.2834384017164613
216,3.2165635561651924,2.1531354702948704,1.7151016032169915,6439,-1.063428085870322
217,9.323042247762672,2.8628819967299415,5.653043095982886,7337,-6.460160251032731
218,21.03673722677765,7.318957372378152,10.941315136021437,4543,-13.717779854399499
219,10.730204933203373,8.127130054859515,3.5810897947360156,5909,-2.6030748783438575
220,2.859380826680683,1.0853726598428182,2.4836761435887107,3589,-1.7740081668378647
221,4.371885684150644,1.492324891047977,3.1516442831767475,6140,-2.8795607931026677
222,3.949911033589624,1.5268724402474871,2.2890790430846337,3628,-2.4230385933421372
223,3.2345251128206307,1.0683962706826982,2.617104810214529,4967,-2.1661288421379323
224,10.027177810093756,3.8749121616503106,6.472118929559137,4857,-6.152265648443445
225,4.434438875738552,1.706820216661261,3.6393558827883328,3647,-2.727618659077291
226,7.186105498092791,4.092181184216128,5.484210967669283,5165,-3.0939243138766637
227,2.396670685976283,2.647668679341699,1.0938984505333165,4700,0.2509979933654156
228,36.956764820899586,7.129338037790301,27.725641916043113,7964,-29.827426783109285
229,2.1703130462473537,0.8932352232724872,1.3550720817358726,3708,-1.2770778229748665
230,2.6295475177808902,1.797140896199121,1.91213005790085,5607,-0.8324066215817691
231,5.7195309417552975,11.956659699604174,6.760885119623385,4959,6.237128757848876
232,16.66062941265978,4.776757192002908,10.450214846875934,4279,-11.883872220656873
233,3.800820217677865,3.36196923056546,2.135032900851057,4947,-0.4388509871124051
234,3.917884829818104,4.573471250931578,2.356046578621366,5292,0.6555864211134743
235,1.3376915751434488,0.574895033035151,0.8744321219760474,2031,-0.7627965421082978
236,3.8618692268869435,4.397477703302487,1.2156823258029994,4593,0.5356084764155433
237,4.878936982978055,8.095860982890668,3.5223235133041335,4663,3.2169239999126136
238,5.8644905642325655,2.0383653634620673,4.261987881973367,5319,-3.8261252007704982
239,6.567697241480693,3.8937485833652388,3.1124037114728846,5234,-2.6739486581154543
240,6.746418720872093,2.94668826467838,6.140515275177306,6163,-3.799730456193713
241,4.675130007590286,5.4518817376801,7.657583271365788,4546,0.7767517300898144
242,3.1215590152039723,1.7430314776120768,2.186669055170822,5981,-1.3785275375918955
243,7.529656418569849,1.3456688109729085,5.3679470440046,4089,-6.183987607596941
244,6.123073050550567,3.520022676555615,3.367913790416299,5368,-2.603050373994952
245,4.500294223697558,2.910791827802248,2.143839015759491,3888,-1.5895023958953094
246,8.779744639324232,5.1085843435912075,4.760522532645657,4044,-3.6711602957330243
247,6.321375005601708,4.369005193641636,3.5001815324498,6576,-1.9523698119600725
248,5.753917321855971,4.464386227479868,1.9252963994365682,5755,-1.2895310943761027
249,5.2424862424275585,2.8748276599171816,2.291070125345862,3589,-2.367658582510377
250,11.043145882077775,2.611378952611713,9.109293322632833,6349,-8.431766929466063
251,24.94663156631566,16.836319831092354,8.306183280625254,6570,-8.110311735223306
252,2.7627355142679417,1.3477408226559895,1.6332564112284205,4517,-1.4149946916119522
253,10.92239467299942,7.03317198171607,3.746084480286365,3371,-3.8892226912833507
254,10.074685310598515,1.7100182799716557,7.65752317187239,3964,-8.364667030626858
255,7.110793335347862,6.041682460481787,5.9537223745584145,5101,-1.069110874866075
256,5.769646606178104,4.572401845918101,4.177874503072835,3691,-1.197244760260003
257,6.36640885599331,4.970837844331089,2.4019539189449004,3348,-1.3955710116622209
258,2.6240099963416483,1.4842480402705087,1.281346349660487,2532,-1.1397619560711396
259,4.164102520517075,2.342206197437351,3.7186799105922437,3035,-1.8218963230797245
260,3.828898666131112,3.3856418251908424,1.792786083387263,4630,-0.44325684094026974
261,3.1824875391988456,2.2092340842589744,1.2814430118062625,2887,-0.9732534549398713
262,3.780842688972108,2.0380871418052062,2.4291637564960884,9839,-1.7427555471669018
263,3.559071761272197,2.2891775038886055,1.880197973639026,4871,-1.2698942573835916
264,7.110906729002047,4.776760831637026,2.5861324807951354,5843,-2.334145897365021
265,7.845777553426477,3.387053373567196,5.027696527808622,3449,-4.458724179859281
266,6.119534618044839,5.916186646391074,1.3806584790254472,4772,-0.2033479716537654
267,5.760788171034301,2.7356648537384567,2.6937303374057606,3595,-3.0251233172958445
268,1.1722529257913767,11.621070136793733,10.584799210195301,2879,10.448817211002357
269,6.980596267998838,2.6533001584926725,5.805848764885622,5840,-4.327296109506165
270,8.721405155549185,7.209361307995924,2.9356171119924435,4526,-1.5120438475532607
271,9.687648412611743,3.869098287648479,5.412094253299853,3564,-5.818550124963265
272,6.970463051220582,3.750933349298559,7.321359798498111,6447,-3.2195297019220233
273,5.622932870951649,1.335598658136258,3.6830899439837816,4205,-4.2873342128153915
274,10.547521729579822,3.8422179647611934,5.448203096329146,3525,-6.705303764818629
275,12.089971758562639,1.3057546718302417,9.850355213074126,5532,-10.784217086732397
276,3.2625248271176415,1.482477003954483,1.8956294452698441,7439,-1.7800478231631585
277,2.999594488768457,1.2960435879754666,1.64574530611584,7265,-1.7035509007929903
278,6.384735240217451,6.921472403801819,5.250666296023721,6052,0.5367371635843678
279,2.978026472741447,4.636641677460735,2.215379829742499,3674,1.6586152047192875
280,5.916843225174468,6.38357070660075,2.6044456724839553,4030,0.4667274814262825
281,3.4098667531610753,1.5312665325770751,3.8721368848978868,5783,-1.8786002205840002
282,1.997274228523899,1.0583395353086633,1.419496404064062,4701,-0.9389346932152356
283,5.573559270097717,7.393162352572247,3.665135040341865,4319,1.8196030824745302
284,2.9131446793042195,2.359264556906677,2.657120404985471,4450,-0.5538801223975427
285,5.377974267733303,2.537011325368439,4.4025104147889005,6557,-2.840962942364864
286,4.873634177153577,2.0043146434874135,2.3890969318159003,3685,-2.8693195336661637
287,6.57841559251209,3.9044330195840775,2.6805489081759353,4897,-2.6739825729280122
288,5.881252994168485,3.6042696536745176,2.943722508037958,3236,-2.2769833404939677
289,1.7107779464942807,2.30461998093507,1.9723826113620064,5674,0.5938420344407891
290,22.31474302381642,8.37163701150253,11.913913005565995,4760,-13.943106012313889
291,1.504483856517446,1.510442534241706,1.2389086990263891,5884,0.005958677724259953
292,14.11072728442456,3.3240954917422565,12.71838291185205,5385,-10.786631792682304
293,5.582493021184572,3.9181588615122025,3.2494703912981664,5649,-1.6643341596723693
294,2.256992618196276,2.1588780615824184,1.996367889429841,3566,-0.09811455661385748
295,3.953108305389428,11.27929387809249,8.291817330659212,5453,7.3261855727030625
296,4.927382467592947,2.9521471840383327,4.184607181290295,4670,-1.9752352835546145
297,15.012077292762013,3.1869101998306744,12.908157914469347,4672,-11.82516709293134
298,5.246568477614588,1.6999655893007968,2.3814879144764376,4404,-3.546602888313791
299,2.621745568799911,4.713828088834541,2.9568533186826294,3099,2.09208252003463
300,7.811322417267195,7.843942946291986,2.230939821671107,4581,0.03262052902479162
301,6.455208003934284,2.6300608804803334,4.265975728377807,5721,-3.8251471234539505
302,6.703306518496222,1.9114218883777931,5.8073116152451965,4404,-4.791884630118429
303,10.073944779568585,7.867962286306817,2.890770205506157,2997,-2.205982493261768
304,5.680819148287228,9.386928746704234,3.612616294568187,2712,3.7061095984170054
305,19.483816732530695,12.761992866557824,7.30386487100942,5185,-6.721823865972871
306,6.086709356013683,3.9498403613232558,5.20089704141479,5694,-2.1368689946904276
307,2.4334615652162346,4.049149678019178,1.9869339800510213,6004,1.615688112802943
308,10.670004488272717,5.155111411871822,4.9514638009909255,3217,-5.514893076400895
309,6.7356695283703285,4.2171997064247115,5.170326909293107,5729,-2.518469821945617
310,3.1285445700619046,4.20446710684375,2.361905769440144,3932,1.0759225367818455
311,3.937895973387914,2.142517104855976,3.6723290004582503,7823,-1.7953788685319378
312,18.191290765711784,20.67843521234763,2.727399669537431,4971,2.4871444466358454
313,5.653663834638308,2.179576944551149,3.0592296619704533,5813,-3.474086890087159
314,13.504601094664904,10.480083200353933,4.8458075971269245,3808,-3.0245178943109714
315,3.8238697616007498,0.9224961270741452,3.2972131706647554,5770,-2.9013736345266046
316,11.985383291885949,7.217185751804687,6.299399929846286,6080,-4.768197540081262
317,7.854124467923361,4.23773709637294,4.094032271057128,8161,-3.616387371550421
318,8.16653758525836,12.39684879541032,2.9244443058132457,4259,4.230311210151958
319,2.43921970179188,1.6279653585432414,2.3164466265621675,7326,-0.8112543432486388
320,2.8770688952901944,2.960295878549307,1.3913034224284893,5558,0.0832269832591126
321,7.8626016178001965,4.498099973160433,4.081716541033744,3866,-3.3645016446397635
322,1.9659042186162377,1.7318116561031036,0.44759917513776365,4009,-0.23409256251313404
323,22.947291215823803,25.290215503290405,2.916800314462303,4319,2.3429242874666016
324,2.994649900548498,3.0597468254534155,2.1918141759570915,5917,0.06509692490491759
325,4.76664254738162,1.7913732210340754,4.336578545103269,6873,-2.9752693263475445
326,17.503745941948942,9.37370601150029,8.186774224457894,4139,-8.130039930448651
327,2.697993422099339,0.8135196341778715,1.6766017328034417,6258,-1.8844737879214675
328,4.479080793468919,3.425529474939784,1.4256698245404393,5140,-1.0535513185291348
329,2.4436360005493922,2.870706153862582,1.4654805254545236,4500,0.42707015331318976
330,2.5413187167332114,2.9143993662892145,1.0151683647197247,3221,0.37308064955600306
331,4.603721835191711,1.1717572064409068,3.485940508417601,3303,-3.431964628750804
332,9.505418660694508,7.144610757630272,3.1673581729097053,6347,-2.3608079030642353
333,8.809875619172304,1.5340839565153752,6.5852768123586305,5723,-7.275791662656929
334,2.398181481319077,1.9692647400920493,1.2420177862036546,4641,-0.42891674122702783
335,12.096560330811391,7.349966830975008,5.7479904811250915,4191,-4.746593499836383
336,19.688462388226966,5.55957880556842,12.744999689756312,6315,-14.128883582658545
337,2.224261518930915,0.833491410814829,1.5241595105852779,5513,-1.390770108116086
338,3.9106930012459036,2.1445112644767637,2.4561863739709247,6039,-1.76618173676914
339,2.8375494723601733,4.464464125697024,2.9038567629147356,5316,1.6269146533368506
340,3.389494775281291,0.8744667412892202,2.785514046973281,3054,-2.515028033992071
341,6.6127076327158685,7.634246213148943,1.5296445933047587,4356,1.0215385804330746
342,2.900514185203653,0.6915776642858744,2.1904666056945596,6014,-2.2089365209177787
343,12.153037113612823,4.636552705135472,6.850956234012605,5499,-7.516484408477352
344,5.608281966260957,3.2999040287114716,2.78064354677558,4154,-2.3083779375494857
345,4.180426278877887,2.957594743349496,2.5235783971555565,4877,-1.2228315355283907
346,6.961393085532478,3.7238134733277564,4.050846182488562,4312,-3.237579612204722
347,9.521145354027526,8.50112555028755,2.7024972276853276,8496,-1.0200198037399755
348,2.2451852741278566,3.720853393559952,2.8850762409365593,5293,1.4756681194320955
349,6.587730469401909,1.1523219472190753,5.062743044561304,4487,-5.435408522182834
350,2.150603639503219,1.1383267599552491,1.2546721064836839,6236,-1.01227687954797
351,3.136967755799536,4.1454910528182465,2.172486764678805,6361,1.0085232970187104
