family,n,rep,gain,wins
strong,11,15,0.023077599020497996,3
strong,11,16,0.07233204414442562,2
strong,11,17,-0.004061253400535647,4
strong,11,18,0.046251530274933894,2
strong,11,19,0.05379810873313706,1
strong,11,20,0.045950885269161135,4
strong,11,21,0.0837273022985845,1
strong,11,22,-0.0360175278810424,6
strong,11,23,0.22024560783074476,1
strong,11,24,0.027822035069363427,4
strong,11,25,0.035697528607326556,1
strong,11,26,0.0466717695783293,2
strong,11,27,0.081974294952594,4
strong,11,28,0.1919051422385456,0
strong,11,29,-0.007015552954520388,5
strong,11,30,0.07912250613053695,1
strong,11,31,0.05374765380533986,2
strong,11,32,0.08517548579366263,2
strong,11,33,-0.0002467358408546616,5
strong,11,34,0.041694662780128344,1
strong,11,35,-0.0292098700374136,5
strong,11,36,0.11011230571774122,1
strong,11,37,0.07279533106591385,2
strong,11,38,0.10217151634795218,0
strong,11,39,0.06636523409766815,0
strong,11,40,0.02107928467918918,4
strong,11,41,0.015412210585865727,4
strong,11,42,0.10119185707532719,0
strong,11,43,-0.015658554099438726,4
strong,11,44,0.063629201867618,0
strong,11,45,0.028984248828932357,1
strong,11,46,0.007013027252059656,3
strong,11,47,0.13594916197076856,1
strong,11,48,0.022457118384626717,3
strong,11,49,0.025471199285170942,3
strong,11,50,0.019231045517821843,2
strong,11,51,0.019664996493278464,3
strong,11,52,0.07289083365282545,3
strong,11,53,0.10160967646066965,0
strong,11,54,0.006222755334544305,4
strong,11,55,-0.02429352057635492,7
strong,11,56,0.12599269087335152,0
strong,11,57,0.03820971793518624,0
strong,11,58,0.038261943580510493,2
strong,11,59,0.1213516400933009,1
strong,11,60,0.009175079405346676,2
strong,11,61,0.00951845670488416,3
strong,11,62,0.018778348612853435,4
strong,11,63,0.08871227086867495,0
strong,11,64,-0.021228812200386526,5
strong,11,65,-0.017237660651475917,6
strong,11,66,0.037234592931110755,3
strong,11,67,0.02313277804250291,4
strong,11,68,0.014389165007614446,3
strong,11,69,0.01703528747554628,4
